,Name,Season,playerid,weightwRC,weightHR,weightPA,weightAB,weightR,weightH,weight2B,RBIsPredicted,linearSvrRBI,svrRBI,BayesRidgeRBI,HuberRegressorRBI,RidgeRBI,ARDRegressionRBI
430,Renato Nunez,2019,14503,-0.909752266016072,-0.7103404686967245,-1.2638611591227458,-1.2490777543170377,-1.127658497924044,-1.066898858245179,-0.73427527582327,30.888478494100525,30.32347350265953,27.675825199044105,30.91951685324414,30.896497821935625,31.151564090664188,30.894767119793315
380,Mikie Mahtook,2019,13130,-0.9802488127100338,-0.5194940789597837,-1.080867323333277,-1.0673146597925565,-0.973310120934379,-1.0836599781724696,-1.4277096105149376,29.852413679388278,30.273324793139714,28.524253027336513,29.971439290164074,29.530729864684687,30.901921123906455,29.94961912370894
383,Nicky Delmonico,2019,13157,-0.945000539363053,-0.7103404686967245,-0.8873034464873772,-0.8929704670854015,-1.005804516090098,-1.066898858245179,-1.0447682615061062,27.24540706853088,30.24652867378778,27.635109489086474,27.58312893022649,26.954956303760373,30.23061836586192,27.48119737767753
131,Pablo Sandoval,2019,5409,-1.0895184600856749,-0.6098950004141241,-1.2698068072169884,-1.2290467194102581,-1.310439470674963,-1.1626766864011255,-1.1172166248321014,30.982231523784865,30.181308176909404,27.076346632957218,31.022819233372395,30.713808096596832,31.31803256999924,30.994737432675695
486,J.T. Riddle,2019,17642,-1.0965681147550712,-0.7906968433228048,-0.9632756165804779,-0.8929704670854014,-1.2251416833912008,-0.9280210074190564,-1.055118027695534,30.49060356063621,30.091175865450275,26.749739469926418,30.56273921633681,30.061690157060653,31.108109342323427,30.526528875242285
346,Kevan Smith,2019,12284,-0.945000539363053,-1.112122341827126,-1.0458540623338481,-0.9523216816240075,-1.3307484676472872,-0.6598430885824059,-0.4237822901404338,32.702706805434076,30.014540350982788,28.321016973466318,32.586080236513894,32.54383457500094,31.6367097675478,32.58178956332185
497,Byung-ho Park,2019,18497,-1.19173845279192,-0.308558595566323,-1.3761678453473292,-1.4048746924808786,-1.127658497924044,-1.545787999024912,-1.2517635852946638,30.65301464099871,29.86079495130183,29.73937031335451,30.638447823699856,30.54478900683127,30.52994406875113,30.64592972956567
138,Jarrod Saltalamacchia,2019,5557,-1.156490179444939,-0.308558595566323,-1.0590666136543874,-1.17488873614378,-1.0464225100347466,-1.5218435419859253,-1.665754232871779,31.994231701861807,29.80002719699457,30.774016849462733,31.862635362736118,31.738829849784246,30.839828456490352,31.927002896810095
186,Alex Avila,2019,7476,-0.9203267480201662,-0.5998504535858641,-1.1773189479732136,-1.3188154313998997,-1.3713664615919359,-1.3925434739753975,-1.3449114809995146,31.188696030853425,29.792709549929935,27.78491845058066,31.189662009852768,31.072513897485052,31.17223271959004,31.18563006376673
183,Billy Butler,2019,7399,-0.8392557193221101,-1.0116768735445256,-1.1779795755392406,-1.1452131288744771,-1.1682764918686925,-0.8274542878553125,-0.32028462824615506,31.656430934780477,29.725680613050756,28.5406715088283,31.57008831135157,31.771190342928914,30.875343715873555,31.56639545306093
